127.0.0.1 - - [22/Sep/2018:07:44:19 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:33 +0530] "GET /Blog/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:33 +0530] "GET /Blog/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:33 +0530] "GET /Blog/assets/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:33 +0530] "GET /Blog/RouteConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:33 +0530] "GET /Blog/Job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:33 +0530] "GET /Blog/Job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:33 +0530] "GET /Blog/Blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:33 +0530] "GET /Blog/Blog/BlogController.js HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:33 +0530] "GET /Blog/assets/js/fontawesome.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:36 +0530] "GET /Blog/shared/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:36 +0530] "GET /Blog/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:44:36 +0530] "GET /Blog/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:45:38 +0530] "GET /Blog/User/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:45:38 +0530] "GET /Blog/assets/images/ball.2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:46:26 +0530] "PUT /BlogMiddleWare/login HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:52:53 +0530] "GET /Blog/ HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:52:53 +0530] "GET /Blog/assets/css/all.css HTTP/1.1" 200 60985
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:52:53 +0530] "GET /Blog/assets/css/bootstrap.css HTTP/1.1" 200 173442
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:52:53 +0530] "GET /Blog/assets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:52:53 +0530] "GET /Blog/User/UserController.js HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:52:53 +0530] "GET /Blog/User/UserService.js HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [22/Sep/2018:07:52:53 +0530] "GET /Blog/Job/JobController.js HTTP/1.1" 200 907
