127.0.0.1 - - [13/Oct/2018:11:02:03 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:33 +0530] "GET /Blog/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:34 +0530] "GET /Blog/assets/css/portfolio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:34 +0530] "GET /Blog/RouteConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:34 +0530] "GET /Blog/User/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:34 +0530] "GET /Blog/assets/js/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:34 +0530] "GET /Blog/Chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:34 +0530] "GET /Blog/Chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:34 +0530] "GET /Blog/assets/js/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:38 +0530] "GET /Blog/shared/SideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:38 +0530] "GET /Blog/shared/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:02:42 +0530] "GET /Blog/User/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:03:13 +0530] "POST /BlogMiddleWare/saveUser HTTP/1.1" 500 121
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:03:42 +0530] "POST /BlogMiddleWare/saveUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:03:45 +0530] "GET /Blog/User/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:12:04 +0530] "GET /Blog/ HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:12:04 +0530] "GET /Blog/assets/css/all.css HTTP/1.1" 200 60985
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:12:04 +0530] "GET /Blog/assets/css/bootstrap.css HTTP/1.1" 200 173442
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:12:04 +0530] "GET /Blog/assets/css/fileinput.css HTTP/1.1" 200 9953
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:12:04 +0530] "GET /Blog/assets/css/myApp.css HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:12:04 +0530] "GET /Blog/assets/css/fileinput.min.css HTTP/1.1" 200 7518
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:12:04 +0530] "GET /Blog/assets/themes/explorer/theme.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:12:04 +0530] "GET /Blog/assets/css/portfolio.css HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:12:04 +0530] "GET /Blog/assets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:12:04 +0530] "GET /Blog/RouteConfig.js HTTP/1.1" 200 2702
